id;latitud;longitud;distancia_metros_sol
10150;40,41936357;-3,674579195;2465,11
10151;40,4183416;-3,6746229;2451,63
10152;40,42111572;-3,663210908;3444,12
10153;40,4174959;-3,6913082;1035,99
10154;40,4147661;-3,6903145;1144,21
10155;40,4148535;-3,6831943;1736,71
10156;40,41371186;-3,668895034;2953,63
10157;40,41807484;-3,673857544;2514,64
10158;40,42283033;-3,677405738;2305,91
10159;40,4013961;-3,6748832;2978,07
10160;40,40696994;-3,68204739;2129,79
10161;40,4183416;-3,6746229;2451,63
10162;40,40932916;-3,674603748;2590,71
10163;40,4111495;-3,6760566;2413,02
10164;40,42283033;-3,677405738;2305,91
10165;40,41807484;-3,673857544;2514,64
10166;40,40041315;-3,668594388;3482,07
10167;40,4111495;-3,6760566;2413,02
10168;40,4075923;-3,6716693;2890,43
10169;40,42283033;-3,677405738;2305,91
10170;40,42111572;-3,663210908;3444,12
10171;40,4189526;-3,6737251;2532,56
10172;40,41654731;-3,690516888;1102,04
10173;40,40932916;-3,674603748;2590,71
10174;40,4183416;-3,6746229;2451,63
10175;40,4016227;-3,6715256;3200,31
10176;40,4124879;-3,662949855;3470,58
10177;40,4189526;-3,6737251;2532,56
10178;40,4189526;-3,6737251;2532,56
10179;40,4189526;-3,6737251;2532,56
10180;40,42283033;-3,677405738;2305,91
10181;40,4183416;-3,6746229;2451,63
10182;40,4183416;-3,6746229;2451,63
10183;40,4164151;-3,6897654;1166,26
10184;40,4183416;-3,6746229;2451,63
10185;40,33281135;-3,84294105;15066,35
10186;40,40813147;-3,690348921;1484,66
10187;40,42283033;-3,677405738;2305,91
10188;40,3989746;-3,6735968;3226,87
10189;40,4111495;-3,6760566;2413,02
10190;40,4110941;-3,6737205;2605,69
10191;40,42283033;-3,677405738;2305,91
10192;40,42111572;-3,663210908;3444,12
10193;40,4189526;-3,6737251;2532,56
10194;40,4199139;-3,667318;3082,82
10195;40,4089581;-3,6764306;2459,65
10196;40,4189526;-3,6737251;2532,56
10197;40,41348336;-3,676989086;2279,15
10198;40,4089581;-3,6764306;2459,65
10199;40,41831785;-3,689534221;1194,17
10200;40,40383696;-3,677092635;2670,53
10201;40,4197586;-3,6670521;3103,41
10202;40,4176158;-3,6716069;2703,06
10203;40,40707045;-3,669279788;3100,13
10204;40,4089581;-3,6764306;2459,65
10205;40,4183416;-3,6746229;2451,63
10206;40,42283033;-3,677405738;2305,91
10207;40,4208535;-3,677496;2245,92
10208;40,421218;-3,673185;2611,98
10209;40,40536736;-3,684497564;2061,96
10210;40,4111495;-3,6760566;2413,02
10211;40,42111572;-3,663210908;3444,12
10212;40,42091996;-3,683644633;1740,04
10213;40,41048875;-3,667718881;3115,13
10214;40,4111495;-3,6760566;2413,02
10215;40,4134344;-3,6903574;1180,99
10216;40,40445146;-3,674291638;2838,11
10217;40,4111495;-3,6760566;2413,02
10218;40,41674725;-3,676915235;2252,76
10219;40,4189526;-3,6737251;2532,56
10220;40,4189526;-3,6737251;2532,56
10221;40,42283033;-3,677405738;2305,91
10222;40,4111495;-3,6760566;2413,02
10223;40,42283033;-3,677405738;2305,91
10224;40,41807484;-3,673857544;2514,64
10225;40,4208535;-3,677496;2245,92
10226;40,4189526;-3,6737251;2532,56
10227;40,4100655;-3,6645272;3388,97
10228;40,42283033;-3,677405738;2305,91
